doc_id,sentence,p_positive,p_negative
7,"$50 MILLION QUESTION

To the Editor:
 Your Aug. 5 news article ''U.S.",0.028062624856829643,0.12995024025440216
7,"Weighs Risk That Atom War Could Bring Fatal Nuclear Winter'' made me wonder who would spend $50 million to discover if a nuclear war would exterminate some, most or all life in a cloud of dust that blots out the sun.",0.011861628852784634,0.688292384147644
7,"It is clear that Government or military officials who would be concerned with the results of such studies differentiate between limited and unlimited nuclear exchanges, between death by incineration and death by refrigeration.",0.024338077753782272,0.3301810324192047
7,"They are people whose fine-tuned minds may find a war that destroys millions of lives acceptable, but one that destroys billions too costly.",0.009620661847293377,0.8391290903091431
7,"They are people whose fine-tuned minds may find a war that destroys millions of lives acceptable, but one that destroys billions too costly.",0.009620661847293377,0.8391290903091431
7,"They may be hoping their studies will lead them to the unexpected discovery that a nuclear war will be followed by a nuclear spring, in which the surviving life will flourish.",0.16588406264781952,0.1247829869389534
7,"If the fate of humanity is in the hands of people who weigh facts and people with the same cold computer precision, then it's time for all of us to button up our overcoats.",0.01143900491297245,0.8190832734107971
8217,"Relying on Computer, U.S. Seeks To Prove Iran's Nuclear Aims

In mid-July, senior American intelligence officials called the leaders of the international atomic inspection agency to the top of a skyscraper overlooking the Danube in Vienna and unveiled the contents of what they said was a stolen Iranian laptop computer.",0.03447716310620308,0.06863673776388168
8217,"The Americans flashed on a screen and spread over a conference table selections from more than a thousand pages of Iranian computer simulations and accounts of experiments, saying they showed a long effort to design a nuclear warhead, according to a half-dozen European and American participants in the meeting.",0.021552428603172302,0.21322114765644073
8217,"The documents, the Americans acknowledged from the start, do not prove that Iran has an atomic bomb.",0.016541404649615288,0.5813023447990417
8217,"They presented them as the strongest evidence yet that, despite Iran's insistence that its nuclear program is peaceful, the country is trying to develop a compact warhead to fit atop its Shahab missile, which can reach Israel and other countries in the Middle East.",0.05488957464694977,0.19344112277030945
8217,"The briefing for officials of the United Nations' International Atomic Energy Agency, including its director Mohamed ElBaradei, was a secret part of an American campaign to increase international pressure on Iran.",0.02187494933605194,0.15595366060733795
8217,"But while the intelligence has sold well among countries like Britain, France and Germany, which reviewed the documents as long as a year ago, it has been a tougher sell with countries outside the inner circle.",0.08885228633880615,0.13743767142295837
8217,"But while the intelligence has sold well among countries like Britain, France and Germany, which reviewed the documents as long as a year ago, it has been a tougher sell with countries outside the inner circle.",0.08885228633880615,0.13743767142295837
8217,"The computer contained studies for crucial features of a nuclear warhead, said European and American officials who had examined the material, including a telltale sphere of detonators to trigger an atomic explosion.",0.030728265643119812,0.14690226316452026
8217,"The documents specified a blast roughly 2,000 feet above a target -- considered a prime altitude for a nuclear detonation.",0.024944666773080826,0.16589747369289398
8217,"Nonetheless, doubts about the intelligence persist among some foreign analysts.",0.01090313121676445,0.4886209964752197
8217,"Moreover, this chapter in the confrontation with Iran is infused with the memory of the faulty intelligence on Iraq's unconventional arms.",0.00859032291918993,0.6871377825737
8217,"In this atmosphere, though few countries are willing to believe Iran's denials about nuclear arms, few are willing to accept the United States' weapons intelligence without question.",0.018040837720036507,0.46030470728874207
8217,"''I can fabricate that data,'' a senior European diplomat said of the documents.",0.023300861939787865,0.225224107503891
8217,"Robert G. Joseph, the under secretary of state for arms control and international security, who led the July briefing, declined to discuss any classified material from the session but acknowledged the existence of the warhead intelligence.",0.022498585283756256,0.06573038548231125
8217,He called it one of many indicators ''that together lead to the conclusion Iran is pursuing a nuclear weapons capability.'',0.021597037091851234,0.29026785492897034
8217,"Even if the documents accurately reflect Iran's advances in designing a nuclear warhead, Western arms experts say that Iran is still far away from producing the radioactive bomb fuel that would form the warhead's heart.",0.01911213994026184,0.4437721371650696
8217,American intelligence agencies recently estimated that Iran would have a working nuclear weapon no sooner than the early years of the next decade.,0.06317050009965897,0.049210745841264725
8217,"Still, nuclear analysts at the international atomic agency studied the laptop documents and found them to be credible evidence of Iranian strides, European diplomats said.",0.1518482118844986,0.015044589526951313
8217,A dozen officials and nuclear weapons experts in Europe and the United States with detailed knowledge of the intelligence said in interviews that they believed it reflected a concerted effort to develop a warhead.,0.018836695700883865,0.3093142807483673
8217,"''They've worked problems that you don't do unless you're very serious,'' said a European arms official.",0.03144686296582222,0.49953609704971313
8217,"And even while President Bush is defending his pronouncements before the war about Iraq's unconventional weapons, he has never publicly referred to the Iran documents.",0.015954673290252686,0.4808006286621094
