doc_id,sentence,p_positive,p_negative,sentence_polarity
8915,"Scientists Meet Analytical Challenge of an Ephemeral Element

FOR 23 years scientists have known of a bizarre, man-made element that can be created only one atom at a time, each surviving for only a few seconds.",0.05297132954001427,0.09522666782140732,-0.285127593040658
8915,"Chemical analysis of this new element, recently named seaborgium, seemed out of the question.",0.02406490221619606,0.3297824263572693,-0.8639814390367414
628,"ABROAD AT HOME; LACKING THE EVIDENCE

Prime Minister Begin explained the attack on Iraq's nuclear reactor at a press conference June 9, two days after the raid.",0.008774440735578537,0.5989455580711365,-0.9711234096185971
628,"Israel had to act, he said, because Saddam Hussein, the Iraqi President, ''wanted to destroy our existence, in fact our people and our country.''",0.006785702425986528,0.818775475025177,-0.9835609943591862
1279,"As It Returns to Negotiations, North Korea Lashes Out at Japan

North Korea called Japanese officials ''political imbeciles'' on Saturday for saying they would not accept the North as a nuclear power, less than a week after it agreed to return to international arms talks on its atomic program.",0.012110806070268154,0.5697411298751831,-0.9583715192042165
1279,"In typically harsh words, North Korea also condemned the United States as ''fanatic warmongers who destroy peace and security on the Korean Peninsula.''",0.008531064726412296,0.76445472240448,-0.9779269816627129
5129,"Iraq Balks at Naming Its Nuclear Suppliers

Iraq is still refusing to name the suppliers of materials and equipment used in the country's clandestine nuclear weapons program despite pledges to do so, the International Atomic Energy Agency said on Friday.",0.010940329171717167,0.36345475912094116,-0.9415573039588807
5129,"As a result, there is no guarantee that all the nuclear supplies have been declared to inspectors or that Iraq will not try to buy from the same suppliers again, said Dimitri Perricos, who this month headed the agency's 12th inspection trip to Iraq.",0.01283385418355465,0.4984724223613739,-0.9497997393235527
5129,"""There is a political decision not to divulge information of this nature,"" Hans Blix, the agency's director general, said at a news conference.",0.018047144636511803,0.08510112762451172,-0.6500737386823631
8568,SCIENCE WATCH; Evidence for Neutrino Mass?,0.03497178480029106,0.012521043419837952,0.4727185602828562
8568,"Since May, physicists have been astir over a hypothesis that neutrinos, thought to be the most prevalent sub-atomic particles in the universe, have mass.",0.09146852046251297,0.048725228756666183,0.30488728594252057
8568,"Numerous experiments have been designed to affirm or deny that assertion, made by Dr. Frederick Reines of the University of California at Irvine and others.",0.027409551665186882,0.138788104057312,-0.6701571806609855
1742,"Bhutto Says She Favors Pact With India to Bar Atom Arms

Prime Minister Benazir Bhutto of Pakistan today denied that her country was building a nuclear bomb and said she would like to work for nuclear nonproliferation with India.",0.08892162144184113,0.03634684532880783,0.4196968117193571
1742,"Interviewed on British television, Ms. Bhutto said, ''We would like to make our region free from the threat of nuclear proliferation and that is why we would like to work with India as our neighbor to prevent any pressures in the future.''",0.18321655690670013,0.01904541254043579,0.8116757926079681
1742,"She added, ''Pakistan has not, nor do we have any intention of putting together or making, a bomb, or taking it to the point where you can put it together.''",0.014576752670109272,0.6521010994911194,-0.9562704756927723
9121,"South Africa Signs a Treaty Allowing Nuclear Inspection

South Africa signed the Nuclear Non-Proliferation Treaty today, permitting inspection of all its atomic installations.",0.19304271042346954,0.006879544351249933,0.9311778034969876
9121,"Foreign Minister Roelof F. Botha signed his country's accession to the treaty at a ceremony here attended by the visiting British Foreign Secretary, Douglas Hurd.",0.15429633855819702,0.004875409882515669,0.9387402609979999
9080,"Slowdown in Program to Clean Up Nuclear Waste in Washington State Is Drawing Criticism

The Energy Department is drawing increasing criticism for its plan to slow down its cleanup of radioactive waste in tanks at the Hanford nuclear reservation in Washington State.",0.00877391081303358,0.5610998868942261,-0.9692075303380582
9080,"The energy secretary, Samuel W. Bodman, told the Senate Energy Committee on Thursday that there are issues ''where we do have differences of opinion'' on how thoroughly the underground tanks should be emptied.",0.015937861055135727,0.132330983877182,-0.785014025531748
